SiteID,Obsolete,Place,Toponym,Notes,Checked,id
1,False,Escharen,Graafsche Raam,NULL,True,1
2,False,Gassel,Grote Geest / Het Rad van Avontuur,NULL,True,2
3,False,Grave,De Zittert,NULL,True,3
4,False,Escharen,Escharense Veld I,NULL,True,4
6,False,Escharen,Rotseweg,NULL,True,5
7,False,Escharen,Hoogeburgt,NULL,True,6
8,False,Grave,Maas,NULL,True,7
9,False,Grave,Maaspoort,NULL,True,8
10,False,Gassel,Provincialeweg,NULL,True,9
12,False,Cuijk,Centrum II,NULL,True,10
13,False,Cuijk,Centrum III,NULL,True,11
14,False,Cuijk,Maas,Archis2-waarneming 38503 removed from Archis,True,12
15,False,Cuijk,Grotestraat,NULL,True,13
18,False,Cuijk,Het Riet,NULL,True,14
20,False,Beers,Kerkeveld,NULL,True,15
21,False,Cuijk,Heeswijkse Kampen I,NULL,True,16
22,False,Cuijk,Heeswijkse Kampen II,NULL,True,17
23,False,Beers,Dommelsvoort I,NULL,True,18
24,False,Gassel,Heihoek,NULL,True,19
25,False,Gassel,Overlaat,NULL,True,20
27,False,Linden,Groot Linden II,NULL,True,21
28,False,Mook,Startsche Veld,NULL,True,22
29,False,Katwijk,Spoorlijn,NULL,True,23
30,False,Mook,Spoorbrug,NULL,True,24
31,False,Mook,Middelweerd,NULL,True,25
32,False,Schaijk,Gaalse Heide,NULL,True,26
33,False,Schaijk,Kleefsestraat,NULL,True,27
34,False,Schaijk,Gaal,"Vossen includes Archis2-waarnemingsnummer 14461 and 38900, but these are located at coordinate 173320/416500",True,28
35,False,Ravenstein,Burgemeester van der Wielstraat,NULL,True,29
36,False,Ravenstein,Hogeveld,NULL,True,30
37,False,Deursen,Het Steenwerk,NULL,True,31
38,False,Deursen,Dennenburg,NULL,True,32
39,False,Deursen,De Woerden,NULL,True,33
40,False,Deursen,Onze Lieve Vrouwenberg,NULL,True,34
41,False,Deursen,Bendelaar,NULL,True,35
42,False,Neerloon,Kalfsheuvel,NULL,True,36
43,False,Nistelrode,Vorssel I,NULL,True,37
44,False,Nistelrode,Vorssel II,NULL,True,38
45,False,Schaijk,Mun,NULL,True,39
47,False,Heesch,A59,NULL,True,40
48,False,Heesch,Broekhoek I,NULL,True,41
49,False,Vinkel,Munnekens,NULL,True,42
50,False,Vinkel,Sportpark,NULL,True,43
51,False,Nistelrode,Boekweitstraat,NULL,True,44
52,False,Oss,Ussen I,NULL,True,45
53,False,Oss,Zomerhof,NULL,True,46
54,False,Oss,Westerveld,NULL,True,47
55,False,Oss,Schalkskamp,NULL,True,48
56,False,Oss,Ussen II,NULL,True,49
