SiteID,Site_subID,Obsolete,X-coordinate_RD,Y-coordinate_RD,Site_type,Site_type_remarks,Interpretation_uncertainty,Start_period,End_period,Start_date,End_date,Dating_precision,Size,Notes,id
1,1,False,179520,417600,rural settlement,NULL,False,ROMV,ROMM,-12,270,2,NULL,"mostly VME site, stretching over 1.6 ha; ROML discontinuity assumed (Verwers and Buisman 1985); burials on same site are VME (Willems 1986 assumes they are ROM, site 549)",200
2,1,False,182200,417225,rural settlement,NULL,False,ROMM,ROML,150,400,2,NULL,"finds dated 150 - 400 AD (Beex 1973); most probably 3rd century AD, although Verwers (1998) indicates ROML - VME; also MESO/NEO/BRONS site",201
3,1,False,178540,418540,rural settlement,NULL,False,ROMV,ROMM,-12,270,2,NULL,"habitation dated ROMM (Verwers 1999), but ROMV fibulae indicate earlier occupation",202
4,1,False,180500,417500,rural settlement,NULL,False,IJZL,ROMM,-250,275,2,NULL,habitation dated approx. 250 BC - 275 AD,203
4,2,False,180500,417500,burial(s),NULL,False,ROMMA,ROMMA,100,150,3,NULL,burial(s) dated approx. 100 - 150 AD (Willems 1986),204
6,1,False,179950,416600,rural settlement,NULL,False,ROMM,ROMM,70,270,2,NULL,"also BRONS/IJZ and VME site (Verwers 1983), and IJZM burials",205
7,1,False,179880,415860,rural settlement,NULL,False,ROMVB,ROMMB,50,275,3,NULL,habitation dated approx. 50 - 275 AD (Willems 1986); coins mainly from 50 - 180 AD (Verwers 1983); also VME site,206
8,1,False,178900,420300,other,NULL,True,ROMM,ROMLA,70,350,2,NULL,NULL,207
9,1,False,179480,419180,road,NULL,True,ROM,ROM,-12,450,1,NULL,location described by Hermans (1865): 'buiten de Maaspoort',208
10,1,False,182540,416940,rural settlement,NULL,False,ROMMA,ROMMB,70,270,3,NULL,NULL,209
12,1,False,189250,415750,civil settlement,NULL,False,ROMV,ROMM,-12,270,2,500 x 250 m?,NULL,210
12,2,False,189250,415750,military site,NULL,True,ROMV,ROMM,25,70,2,NULL,evidence for ROMVB military settlement is dubious (van Enckevort and Thijssen 2002),211
12,3,False,189250,415750,road,NULL,False,ROMV,ROMM,-12,200,2,NULL,"Het weglichaam of ager bestaat uit verschillende lagen waarvan de hoogste intacte zone, op basis van het aangetroffen aardewerk, een sluitdatum in de tweede eeuw lijkt te hebben.",212
13,1,False,189250,415750,castellum,NULL,False,ROMLA,ROMLB,306,375,3,160 x 110 m,Ceuclum; two building phases: earthen walls and pallisade under Constantine II (306 - 337 AD) and stone walls with semi-circular tower under Valentinian I (364 - 375 AD),213
